0.00,0.61,0.61,0.86,0.81,0.97,0.51,0.63,0.80,0.79,0.42,0.62,0.25,0.81,0.62,0.52,0.65,0.48,0.55,0.55,0.88,0.77,0.38,0.24,0.79,0.55,0.29,0.69,0.66,0.68
0.61,0.00,0.55,0.58,0.53,0.72,0.61,0.64,0.61,0.53,0.49,0.74,0.57,0.58,0.74,0.49,0.33,0.58,0.80,0.43,0.60,0.51,0.58,0.60,0.55,0.61,0.61,0.81,0.86,0.79
0.61,0.55,0.00,0.64,0.42,0.66,0.61,0.40,0.44,0.49,0.61,0.49,0.58,0.45,0.42,0.41,0.61,0.65,0.48,0.64,0.58,0.57,0.63,0.59,0.43,0.37,0.61,0.44,0.48,0.45
0.86,0.58,0.64,0.00,0.56,0.38,0.63,0.58,0.58,0.55,0.69,0.74,0.84,0.60,0.80,0.65,0.68,0.76,0.80,0.65,0.42,0.42,0.84,0.90,0.56,0.68,0.86,0.86,0.87,0.83
0.81,0.53,0.42,0.56,0.00,0.48,0.82,0.54,0.34,0.37,0.72,0.63,0.77,0.31,0.52,0.57,0.61,0.81,0.66,0.68,0.47,0.52,0.79,0.81,0.39,0.54,0.80,0.59,0.65,0.57
0.97,0.72,0.66,0.38,0.48,0.00,0.79,0.58,0.48,0.58,0.82,0.75,0.94,0.51,0.72,0.70,0.81,0.85,0.78,0.80,0.40,0.47,0.95,1.00,0.53,0.64,0.98,0.78,0.79,0.75
0.51,0.61,0.61,0.63,0.82,0.79,0.00,0.60,0.79,0.77,0.52,0.66,0.52,0.81,0.75,0.53,0.66,0.38,0.69,0.58,0.71,0.60,0.56,0.55,0.74,0.60,0.59,0.78,0.79,0.78
0.63,0.64,0.40,0.58,0.54,0.58,0.60,0.00,0.49,0.57,0.63,0.51,0.60,0.50,0.49,0.43,0.64,0.61,0.46,0.65,0.62,0.61,0.68,0.64,0.48,0.29,0.65,0.54,0.51,0.56
0.80,0.61,0.44,0.58,0.34,0.48,0.79,0.49,0.00,0.44,0.76,0.63,0.79,0.27,0.49,0.61,0.64,0.77,0.63,0.72,0.49,0.46,0.81,0.80,0.45,0.48,0.81,0.55,0.59,0.56
0.79,0.53,0.49,0.55,0.37,0.58,0.77,0.57,0.44,0.00,0.67,0.65,0.72,0.45,0.56,0.51,0.59,0.75,0.70,0.67,0.53,0.55,0.77,0.77,0.45,0.57,0.77,0.64,0.71,0.62
0.42,0.49,0.61,0.69,0.72,0.82,0.52,0.63,0.76,0.67,0.00,0.66,0.40,0.78,0.65,0.47,0.63,0.55,0.67,0.47,0.77,0.65,0.46,0.47,0.70,0.61,0.46,0.76,0.78,0.69
0.62,0.74,0.49,0.74,0.63,0.75,0.66,0.51,0.63,0.65,0.66,0.00,0.61,0.59,0.47,0.61,0.73,0.75,0.36,0.68,0.72,0.73,0.69,0.64,0.55,0.53,0.56,0.50,0.46,0.55
0.25,0.57,0.58,0.84,0.77,0.94,0.52,0.60,0.79,0.72,0.40,0.61,0.00,0.77,0.59,0.48,0.56,0.45,0.57,0.51,0.87,0.78,0.44,0.22,0.73,0.55,0.34,0.64,0.67,0.68
0.81,0.58,0.45,0.60,0.31,0.51,0.81,0.50,0.27,0.45,0.78,0.59,0.77,0.00,0.54,0.62,0.61,0.77,0.65,0.70,0.48,0.53,0.79,0.80,0.35,0.50,0.79,0.54,0.58,0.61
0.62,0.74,0.42,0.80,0.52,0.72,0.75,0.49,0.49,0.56,0.65,0.47,0.59,0.54,0.00,0.55,0.75,0.72,0.39,0.74,0.72,0.71,0.67,0.60,0.58,0.43,0.66,0.31,0.34,0.27
0.52,0.49,0.41,0.65,0.57,0.70,0.53,0.43,0.61,0.51,0.47,0.61,0.48,0.62,0.55,0.00,0.59,0.48,0.55,0.56,0.62,0.61,0.57,0.51,0.56,0.41,0.56,0.61,0.64,0.57
0.65,0.33,0.61,0.68,0.61,0.81,0.66,0.64,0.64,0.59,0.63,0.73,0.56,0.61,0.75,0.59,0.00,0.62,0.81,0.52,0.71,0.62,0.66,0.61,0.62,0.63,0.60,0.80,0.86,0.84
0.48,0.58,0.65,0.76,0.81,0.85,0.38,0.61,0.77,0.75,0.55,0.75,0.45,0.77,0.72,0.48,0.62,0.00,0.72,0.57,0.75,0.66,0.54,0.46,0.73,0.54,0.59,0.74,0.76,0.77
